Geneid,Chr,Start,End,Strand,Length,ML-sta1_CTTGTA_L005/bowtie1_mapping_ref/ML-sta1_CTTGTA_L005.sorted.bam,ML-exp1_GCCAAT_L006/bowtie1_mapping_ref/ML-exp1_GCCAAT_L006.sorted.bam
gene1122,CU928145.2,1160734,1160907,+,174,4,1394
gene1123,CU928145.2,1160956,1162029,-,1074,8,39
gene1124,CU928145.2,1162101,1164845,-,2745,2,20
gene1125,CU928145.2,1164928,1165956,+,1029,2,6
gene1126,CU928145.2,1165929,1166621,-,693,5,9
gene1127,CU928145.2,1166751,1167923,+,1173,2,6
gene1128,CU928145.2,1167923,1170469,+,2547,4,5
gene1129,CU928145.2,1170466,1171065,+,600,3,13
gene1130,CU928145.2,1171158,1171463,-,306,13,5
gene1131,CU928145.2,1171463,1172383,-,921,286,35
gene1132,CU928145.2,1172716,1173903,+,1188,5,52
gene1133,CU928145.2,1174192,1175433,+,1242,160,103
gene1134,CU928145.2,1175471,1175698,-,228,701,78
gene1135,CU928145.2,1175719,1176315,-,597,685,50
gene1136,CU928145.2,1176525,1176755,+,231,5,3
gene1137,CU928145.2,1176688,1176861,+,174,8941,19
gene1138,CU928145.2,1176944,1178272,-,1329,14,3
gene1139,CU928145.2,1178293,1178787,-,495,3,1
gene1140,CU928145.2,1178798,1179388,-,591,8,1
gene1141,CU928145.2,1179398,1180198,-,801,1,1
gene1142,CU928145.2,1180206,1180592,-,387,0,1
gene1143,CU928145.2,1180604,1181296,-,693,0,0
gene1144,CU928145.2,1181296,1182444,-,1149,0,1
gene1145,CU928145.2,1182675,1183313,+,639,14,47
gene1146,CU928145.2,1183353,1187315,-,3963,19,204
gene1147,CU928145.2,1187738,1189246,+,1509,14,100
gene1148,CU928145.2,1189779,1190618,+,840,9,3
gene1149,CU928145.2,1190676,1191803,+,1128,0,42
gene1150,CU928145.2,1191809,1193080,+,1272,17,40
gene1151,CU928145.2,1193147,1193344,-,198,10,6
gene1152,CU928145.2,1193564,1194487,+,924,199,14
gene1153,CU928145.2,1194537,1194950,-,414,3,26
gene1154,CU928145.2,1194952,1196277,-,1326,0,10
gene1155,CU928145.2,1196270,1198288,-,2019,1,12
gene1156,CU928145.2,1198297,1200720,-,2424,12,29
gene1157,CU928145.2,1201027,1201302,+,276,179,1386
gene1158,CU928145.2,1201221,1201724,+,504,25,190
gene1159,CU928145.2,1201775,1202902,+,1128,169,1327
gene1160,CU928145.2,1203113,1203700,+,588,31,97
gene1161,CU928145.2,1203654,1204550,+,897,1,29
gene1162,CU928145.2,1204591,1205457,-,867,5,26
gene1163,CU928145.2,1205454,1205762,-,309,23,19
gene1164,CU928145.2,1205856,1206347,+,492,0,0
gene1165,CU928145.2,1206344,1207330,+,987,3,14
gene1166,CU928145.2,1207704,1207791,-,88,16,58
gene1167,CU928145.2,1208025,1208963,+,939,7,20
gene1168,CU928145.2,1209018,1209755,+,738,42,104
gene1169,CU928145.2,1209779,1210333,+,555,8,54
gene1170,CU928145.2,1210435,1210926,+,492,1,67
gene1171,CU928145.2,1210990,1211823,-,834,17,8
gene1172,CU928145.2,1211850,1212266,-,417,0,3
gene1173,CU928145.2,1212291,1212680,-,390,0,7
gene1174,CU928145.2,1212685,1213335,-,651,3,30
gene1175,CU928145.2,1214089,1214544,+,456,3,2
gene1176,CU928145.2,1214585,1215040,+,456,0,17
gene1177,CU928145.2,1215099,1215431,+,333,0,52
gene1178,CU928145.2,1215662,1215862,+,201,0,27
gene1179,CU928145.2,1215957,1216490,+,534,20,18
gene1180,CU928145.2,1216492,1217913,+,1422,18,8
gene1181,CU928145.2,1217921,1219078,-,1158,5,42
gene1182,CU928145.2,1219123,1219266,-,144,0,3
gene1183,CU928145.2,1219270,1219428,-,159,0,5
gene1184,CU928145.2,1219472,1221007,+,1536,146,266
gene1185,CU928145.2,1221000,1223543,+,2544,113,210
gene1186,CU928145.2,1223716,1223943,+,228,151,4
gene1187,CU928145.2,1223944,1224318,-,375,137,3
gene1188,CU928145.2,1224401,1225627,-,1227,60,12
gene1189,CU928145.2,1225799,1226719,-,921,24,50
gene1190,CU928145.2,1226944,1227996,+,1053,11,37
gene1191,CU928145.2,1228038,1228613,-,576,6,34
gene1192,CU928145.2,1228617,1229183,-,567,1,3
gene1193,CU928145.2,1229605,1230723,-,1119,25,81
gene1194,CU928145.2,1230838,1231092,-,255,677,2128
gene1195,CU928145.2,1231382,1231759,-,378,14,264
gene1196,CU928145.2,1231701,1232747,-,1047,5,33
gene1197,CU928145.2,1232853,1233413,-,561,59,455
gene1198,CU928145.2,1233547,1234194,-,648,506,144
gene1199,CU928145.2,1234258,1235466,-,1209,3,12
gene1200,CU928145.2,1235702,1236286,+,585,27,74
gene1201,CU928145.2,1236297,1236944,+,648,22,39
gene1202,CU928145.2,1236946,1237869,+,924,6,41
gene1203,CU928145.2,1237979,1239514,+,1536,11,59
gene1204,CU928145.2,1239554,1239970,-,417,7,651
gene1205,CU928145.2,1239975,1240268,-,294,1,425
gene1206,CU928145.2,1240344,1241003,-,660,1,162
gene1207,CU928145.2,1241158,1241574,+,417,0,590
gene1208,CU928145.2,1241578,1241982,+,405,0,144
gene1209,CU928145.2,1241994,1242689,+,696,2,315
gene1210,CU928145.2,1242714,1243919,+,1206,3,466
gene1211,CU928145.2,1243939,1244694,+,756,3,153
gene1212,CU928145.2,1244866,1245648,+,783,8,230
gene1213,CU928145.2,1245701,1246399,+,699,0,92
gene1214,CU928145.2,1246411,1247508,+,1098,1,130
gene1215,CU928145.2,1247508,1248449,+,942,2,101
gene1216,CU928145.2,1248515,1250158,+,1644,6,426
gene1217,CU928145.2,1250170,1251123,+,954,13,784
gene1218,CU928145.2,1251320,1254505,-,3186,83,480
gene1219,CU928145.2,1254530,1254866,-,337,170,773
gene1220,CU928145.2,1255078,1256037,+,960,19,63
gene1221,CU928145.2,1256149,1256733,-,585,175,40
gene1222,CU928145.2,1256727,1256895,+,169,558,110
gene1223,CU928145.2,1256932,1257453,+,522,78,2666
gene1224,CU928145.2,1257505,1257678,+,174,45,5392
gene1225,CU928145.2,1257759,1258829,+,1071,129,950
gene1226,CU928145.2,1258897,1259850,+,954,85,236
gene1227,CU928145.2,1259866,1260795,+,930,47,240
gene1228,CU928145.2,1260808,1261542,+,735,388,694
gene1229,CU928145.2,1261753,1261989,+,237,1478,10698
gene1230,CU928145.2,1262077,1263318,+,1242,103,964
gene1231,CU928145.2,1263438,1264247,+,810,34,34
gene1232,CU928145.2,1264250,1265272,+,1023,14,40
gene1233,CU928145.2,1265262,1265903,+,642,18,30
gene1234,CU928145.2,1265900,1266904,+,1005,10,32
gene1235,CU928145.2,1266915,1267712,+,798,535,55
gene1236,CU928145.2,1268007,1269440,+,1434,303,166
gene1237,CU928145.2,1269500,1271689,-,2190,39,30
gene1238,CU928145.2,1272023,1272382,+,360,70,190
gene1239,CU928145.2,1272385,1272762,+,378,19,102
gene1240,CU928145.2,1272776,1273417,+,642,31,122
gene1241,CU928145.2,1273398,1274222,+,825,14,42
gene1242,CU928145.2,1274233,1275258,+,1026,36,73
gene1243,CU928145.2,1275281,1275823,+,543,47,224
gene1244,CU928145.2,1276231,1277535,+,1305,18,69
gene1245,CU928145.2,1277745,1278284,+,540,68,15
gene1246,CU928145.2,1278346,1278978,-,633,43,25
gene1247,CU928145.2,1279219,1279476,+,258,166,143
gene1248,CU928145.2,1279559,1280521,-,963,49,34
gene1249,CU928145.2,1280665,1284111,-,3447,75,128
gene1250,CU928145.2,1284239,1285312,-,1074,0,10
gene1251,CU928145.2,1285574,1286773,+,1200,9,111
gene1252,CU928145.2,1286766,1287467,+,702,1,46
gene1253,CU928145.2,1287467,1288711,+,1245,38,123
gene1254,CU928145.2,1288740,1289651,+,912,14,68
gene1255,CU928145.2,1289667,1290488,+,822,3,41
gene1256,CU928145.2,1290627,1291349,-,723,3,20
gene1257,CU928145.2,1291412,1291882,-,471,2,16
gene1258,CU928145.2,1291931,1292977,-,1047,18,141
gene1259,CU928145.2,1292974,1293768,-,795,11,39
gene1260,CU928145.2,1293765,1294592,-,828,28,35
gene1261,CU928145.2,1294606,1295742,-,1137,3,94
gene1262,CU928145.2,1295721,1295972,-,252,0,1
gene1263,CU928145.2,1295950,1297221,+,1272,191,250
gene1264,CU928145.2,1297367,1298488,-,1122,111,118
gene1265,CU928145.2,1298564,1300024,-,1461,17,86
gene1266,CU928145.2,1300024,1300695,-,672,76,194
gene1267,CU928145.2,1300863,1302233,-,1371,3,58
gene1268,CU928145.2,1302237,1302878,-,642,4,16
gene1269,CU928145.2,1302914,1304020,-,1107,10,125
gene1270,CU928145.2,1304074,1304535,-,462,6,9
gene1271,CU928145.2,1304545,1305198,-,654,23,26
gene1272,CU928145.2,1305370,1306620,+,1251,354,522
gene1273,CU928145.2,1306723,1307046,-,324,2,121
gene1274,CU928145.2,1307742,1308146,-,405,1,28
gene1275,CU928145.2,1308367,1309098,-,732,92,124
gene1276,CU928145.2,1309303,1310514,-,1212,20,71
gene1277,CU928145.2,1310828,1311064,+,237,157,74
gene1278,CU928145.2,1311107,1311379,+,273,29,83
gene1279,CU928145.2,1311408,1311674,+,267,47,106
gene1280,CU928145.2,1311787,1312035,+,249,22,83
gene1281,CU928145.2,1312367,1313890,+,1524,28,21
gene1282,CU928145.2,1314022,1314240,+,219,15,91
gene1283,CU928145.2,1314640,1314849,+,210,1,13
gene1284,CU928145.2,1315056,1315331,+,276,178,1372
gene1285,CU928145.2,1315250,1315753,+,504,21,170
gene1286,CU928145.2,1315755,1318064,+,2310,11,26
gene1287,CU928145.2,1318121,1318450,-,330,16,37
gene1288,CU928145.2,1318460,1318735,-,276,1,24
gene1289,CU928145.2,1319281,1319724,+,444,12,4
gene1290,CU928145.2,1320096,1320362,-,267,48,367
gene1291,CU928145.2,1320366,1321178,-,813,25,428
gene1292,CU928145.2,1321202,1321897,-,696,47,180
gene1293,CU928145.2,1322417,1322785,+,369,2,268
gene1294,CU928145.2,1322905,1323306,-,402,0,187
gene1295,CU928145.2,1323515,1323841,+,327,34,348
gene1296,CU928145.2,1323913,1324572,+,660,21,176
gene1297,CU928145.2,1324664,1325110,+,447,55,52
gene1298,CU928145.2,1325317,1325598,-,282,3,22
gene1299,CU928145.2,1325718,1326020,-,303,2,3
gene1300,CU928145.2,1326117,1326371,-,255,0,0
gene1301,CU928145.2,1326462,1326540,+,79,0,0
gene1302,CU928145.2,1326600,1327019,+,420,5,20
gene1303,CU928145.2,1327019,1328287,+,1269,11,24
gene1304,CU928145.2,1328333,1328863,-,531,21,210
gene1305,CU928145.2,1329009,1330550,-,1542,9,116
gene1306,CU928145.2,1330772,1331491,+,720,49,150
gene1307,CU928145.2,1331543,1333075,-,1533,1127,24
gene1308,CU928145.2,1333405,1334703,+,1299,316,44
gene1309,CU928145.2,1334713,1335783,+,1071,131,51
gene1310,CU928145.2,1336169,1337905,-,1737,57,146
gene1311,CU928145.2,1338000,1338914,-,915,18,21
gene1312,CU928145.2,1339014,1339625,+,612,24,24
gene1313,CU928145.2,1339627,1340361,-,735,3,86
gene1314,CU928145.2,1340562,1340816,+,255,151,1
gene1315,CU928145.2,1340994,1341434,+,441,2,7
gene1316,CU928145.2,1341513,1343210,-,1698,59,14
gene1317,CU928145.2,1343530,1344948,-,1419,10,453
gene1318,CU928145.2,1344959,1345591,-,633,4,84
gene1319,CU928145.2,1345602,1346672,-,1071,1,573
gene1320,CU928145.2,1346900,1348819,+,1920,8,84
gene1321,CU928145.2,1348919,1351786,-,2868,15,53
gene1322,CU928145.2,1352555,1353646,-,1092,158,445
gene1323,CU928145.2,1353763,1354347,-,585,13,43
gene1324,CU928145.2,1354625,1354903,+,279,1765,488
gene1325,CU928145.2,1354958,1356637,-,1680,62,21
gene1326,CU928145.2,1356762,1357709,-,948,43,247
gene1327,CU928145.2,1357860,1358711,-,852,25,55
gene1328,CU928145.2,1358711,1359334,-,624,28,23
gene1329,CU928145.2,1359548,1360804,+,1257,54,218
gene1330,CU928145.2,1360846,1361928,+,1083,10,96
gene1331,CU928145.2,1361928,1362761,+,834,4,34
gene1332,CU928145.2,1362758,1363150,+,393,1,18
gene1333,CU928145.2,1363154,1363963,+,810,18,93
gene1334,CU928145.2,1363999,1364853,+,855,39,225
gene1335,CU928145.2,1365002,1365169,-,168,15,21
gene1336,CU928145.2,1365162,1365221,+,60,10,36
gene1337,CU928145.2,1365538,1365645,-,108,14,18
gene1338,CU928145.2,1365693,1365756,+,64,9,39
gene1339,CU928145.2,1366050,1367150,-,1101,3,128
gene1340,CU928145.2,1367420,1367650,+,231,58,10
gene1341,CU928145.2,1367787,1368503,+,717,154,40
gene1342,CU928145.2,1368547,1368900,-,354,20,242
gene1343,CU928145.2,1369226,1370479,+,1254,11,34
gene1344,CU928145.2,1370480,1371130,-,651,8,76
gene1345,CU928145.2,1371123,1372919,-,1797,26,260
gene1346,CU928145.2,1373258,1374649,+,1392,5,1192
gene1347,CU928145.2,1375165,1378908,+,3744,3,738
gene1348,CU928145.2,1378905,1380443,+,1539,3,50
gene1349,CU928145.2,1380440,1381150,+,711,2,23
gene1350,CU928145.2,1381150,1381827,+,678,6,19
gene1351,CU928145.2,1382007,1382456,+,450,1,1
gene1352,CU928145.2,1382011,1382181,-,171,0,0
gene1353,CU928145.2,1382189,1382273,-,85,0,0
gene1354,CU928145.2,1382308,1382392,-,85,0,0
gene1355,CU928145.2,1382552,1383394,-,843,23,176
gene1356,CU928145.2,1383444,1383902,-,459,20,197
gene1357,CU928145.2,1383976,1384920,+,945,216,53
gene1358,CU928145.2,1385012,1386025,+,1014,212,51
gene1359,CU928145.2,1386227,1387135,+,909,144,387
gene1360,CU928145.2,1387279,1387692,-,414,594,14696
gene1361,CU928145.2,1388298,1388915,+,618,31,593
gene1362,CU928145.2,1389197,1389739,-,543,18,26
gene1363,CU928145.2,1389743,1389973,-,231,0,0
gene1364,CU928145.2,1389912,1390097,-,186,0,1
gene1365,CU928145.2,1390221,1392896,-,2676,778,1097
gene1366,CU928145.2,1393373,1394020,+,648,39,140
gene1367,CU928145.2,1394178,1394339,-,162,7,47
gene1368,CU928145.2,1394758,1396389,+,1632,17,726
gene1369,CU928145.2,1396475,1397395,+,921,5,134
gene1370,CU928145.2,1397410,1398318,+,909,4,68
gene1371,CU928145.2,1398330,1399343,+,1014,6,105
gene1372,CU928145.2,1399340,1400344,+,1005,7,89
gene1373,CU928145.2,1400397,1400726,-,330,36,120
gene1374,CU928145.2,1400761,1402221,-,1461,35,100
gene1375,CU928145.2,1402253,1402537,+,285,107,571
gene1376,CU928145.2,1402592,1403845,-,1254,75,383
gene1377,CU928145.2,1404145,1404441,-,297,8,1873
gene1378,CU928145.2,1404665,1405384,+,720,62,45
gene1379,CU928145.2,1405424,1405822,-,399,22,263
gene1380,CU928145.2,1405927,1406466,-,540,33,101
gene1381,CU928145.2,1406496,1407239,-,744,25,93
gene1382,CU928145.2,1407596,1408234,+,639,10,52
gene1383,CU928145.2,1408280,1409410,-,1131,6,35
gene1384,CU928145.2,1409388,1409636,-,249,4,9
gene1385,CU928145.2,1409701,1412172,-,2472,25,36
gene1386,CU928145.2,1412265,1412456,-,192,2,3
gene1387,CU928145.2,1412453,1412746,-,294,9,24
gene1388,CU928145.2,1412816,1412868,-,53,8,17
gene1389,CU928145.2,1412991,1413206,+,216,3,3
gene1390,CU928145.2,1413136,1413402,+,267,90,107
gene1391,CU928145.2,1413391,1413741,-,351,33,42
gene1392,CU928145.2,1413741,1414049,-,309,1,6
gene1393,CU928145.2,1414086,1414544,-,459,99,155
gene1394,CU928145.2,1414544,1414798,+,255,1,1
gene1395,CU928145.2,1414782,1415303,+,522,0,9
gene1396,CU928145.2,1415230,1416249,+,1020,10,29
gene1397,CU928145.2,1416290,1416712,+,423,0,27
gene1398,CU928145.2,1416965,1417864,+,900,29,640
gene1399,CU928145.2,1418179,1418838,-,660,39,283
gene1400,CU928145.2,1418845,1419552,-,708,33,509
gene1401,CU928145.2,1419725,1419892,-,168,4,21
gene1402,CU928145.2,1420655,1420906,+,252,7,54
gene1403,CU928145.2,1421253,1422302,+,1050,2,7
gene1404,CU928145.2,1422308,1422508,+,201,0,0
gene1405,CU928145.2,1422315,1422674,+,360,0,0
gene1406,CU928145.2,1422665,1423360,+,696,4,16
gene1407,CU928145.2,1423432,1424271,+,840,111,2269
gene1408,CU928145.2,1424268,1425011,+,744,53,1546
gene1409,CU928145.2,1425122,1425448,+,327,2,30
gene1410,CU928145.2,1425498,1425573,+,76,1,20
gene1411,CU928145.2,1425671,1425747,+,77,0,29
gene1412,CU928145.2,1426724,1428580,+,1857,54,31
gene1413,CU928145.2,1428653,1428946,+,294,32,0
gene1414,CU928145.2,1428951,1429265,+,315,1,9
gene1415,CU928145.2,1429321,1429854,+,534,2,8
gene1416,CU928145.2,1429836,1430309,+,474,124,27
gene1417,CU928145.2,1430726,1431346,+,621,93,277
gene1418,CU928145.2,1431288,1432355,-,1068,19,569
gene1419,CU928145.2,1432470,1432622,+,153,3,6
gene1420,CU928145.2,1432760,1433308,+,549,1,9
gene1421,CU928145.2,1433238,1435208,+,1971,2,5
gene1422,CU928145.2,1435192,1435398,+,207,0,0
gene1423,CU928145.2,1435395,1436987,+,1593,1,4
gene1424,CU928145.2,1436977,1438482,+,1506,1,2
gene1425,CU928145.2,1438519,1438866,+,348,0,0
gene1426,CU928145.2,1438924,1439952,+,1029,4,1
gene1427,CU928145.2,1439956,1440387,+,432,1,1
gene1428,CU928145.2,1440380,1440733,+,354,0,0
gene1429,CU928145.2,1440748,1441323,+,576,1,0
gene1430,CU928145.2,1441320,1441715,+,396,0,0
gene1431,CU928145.2,1441723,1442475,+,753,1,5
gene1432,CU928145.2,1442489,1442920,+,432,5,3
gene1433,CU928145.2,1442947,1443360,+,414,5,0
gene1434,CU928145.2,1443341,1445914,+,2574,15,6
gene1435,CU928145.2,1445911,1446240,+,330,0,0
gene1436,CU928145.2,1446240,1446938,+,699,0,0
gene1437,CU928145.2,1446688,1447692,+,1005,0,1
gene1438,CU928145.2,1447590,1448270,+,681,0,6
gene1439,CU928145.2,1448613,1452086,+,3474,13,22
gene1440,CU928145.2,1452154,1452753,+,600,16,3
gene1441,CU928145.2,1452905,1456075,+,3171,29,44
gene1442,CU928145.2,1456075,1456659,+,585,33,74
gene1443,CU928145.2,1456714,1457298,-,585,19,2088
gene1444,CU928145.2,1457439,1457708,+,270,4,5
gene1445,CU928145.2,1458482,1458988,-,507,145,42
gene1446,CU928145.2,1459034,1459534,-,501,72,17
gene1447,CU928145.2,1459620,1459799,-,180,1608,1
gene1448,CU928145.2,1460180,1460986,-,807,16,35
gene1449,CU928145.2,1460986,1462179,-,1194,10,10
gene1450,CU928145.2,1462191,1463549,-,1359,12,11
gene1451,CU928145.2,1463553,1465148,-,1596,7,8
gene1452,CU928145.2,1465148,1466710,-,1563,3,3
gene1453,CU928145.2,1466732,1466825,-,94,0,0
gene1454,CU928145.2,1466802,1466846,-,45,0,0
gene1455,CU928145.2,1466984,1467865,+,882,42,27
gene1456,CU928145.2,1467862,1468482,+,621,23,17
gene1457,CU928145.2,1468556,1469455,+,900,17,52
gene1458,CU928145.2,1469495,1470085,-,591,15,42
gene1459,CU928145.2,1470082,1470840,-,759,34,61
gene1460,CU928145.2,1470884,1471048,-,165,1,0
gene1461,CU928145.2,1471060,1472109,+,1050,97,223
gene1462,CU928145.2,1472145,1472396,-,252,98,1003
gene1463,CU928145.2,1472441,1472653,+,213,6,18
gene1464,CU928145.2,1472776,1475373,+,2598,108,478
gene1465,CU928145.2,1475583,1476557,+,975,123,197
gene1466,CU928145.2,1476851,1477015,+,165,3,24
gene1467,CU928145.2,1476997,1477185,+,189,2,35
gene1468,CU928145.2,1477322,1477504,+,183,13,11
gene1469,CU928145.2,1477558,1480233,+,2676,457,80
gene1470,CU928145.2,1480297,1480887,-,591,207,370
gene1471,CU928145.2,1481057,1481821,+,765,50,88
gene1472,CU928145.2,1481970,1482278,+,309,60,114
gene1473,CU928145.2,1482285,1483454,+,1170,31,196
gene1474,CU928145.2,1483647,1484384,+,738,2,27
gene1475,CU928145.2,1484384,1484710,+,327,3,6
gene1476,CU928145.2,1484836,1485054,-,219,951,70
gene1477,CU928145.2,1485323,1486072,-,750,12,434
gene1478,CU928145.2,1486162,1486377,-,216,17,71
gene1479,CU928145.2,1486482,1488467,-,1986,968,66
gene1480,CU928145.2,1488702,1490636,-,1935,34,73
gene1481,CU928145.2,1490704,1491831,-,1128,39,7
gene1482,CU928145.2,1491976,1492764,-,789,365,418
gene1483,CU928145.2,1493134,1493487,-,354,0,2
gene1484,CU928145.2,1493555,1494361,-,807,17,25
gene1485,CU928145.2,1494363,1495355,-,993,21,24
gene1486,CU928145.2,1495355,1496245,-,891,15,13
gene1487,CU928145.2,1496232,1497197,-,966,36,60
gene1488,CU928145.2,1497194,1498837,-,1644,72,58
gene1489,CU928145.2,1499149,1499394,-,246,3,26
gene1490,CU928145.2,1499528,1500913,-,1386,11,16
gene1491,CU928145.2,1501216,1502634,-,1419,12,4
gene1492,CU928145.2,1502846,1503610,+,765,27,5
gene1493,CU928145.2,1503637,1504194,+,558,9,12
gene1494,CU928145.2,1504469,1505956,+,1488,3,0
gene1495,CU928145.2,1505958,1507238,+,1281,1,0
gene1496,CU928145.2,1507276,1508541,+,1266,3,5
gene1497,CU928145.2,1508661,1509638,-,978,3,23
gene1498,CU928145.2,1509805,1510473,+,669,371,428
gene1499,CU928145.2,1510527,1510751,+,225,20,12
gene1500,CU928145.2,1510751,1511110,+,360,9,14
gene1501,CU928145.2,1511119,1511340,+,222,1,6
gene1502,CU928145.2,1511415,1511729,+,315,11,206
gene1503,CU928145.2,1511941,1513620,+,1680,0,11
gene1504,CU928145.2,1513634,1514926,+,1293,1,8
gene1505,CU928145.2,1514947,1515828,+,882,1,2
gene1506,CU928145.2,1515815,1516657,+,843,1,1
gene1507,CU928145.2,1516688,1517740,+,1053,0,1
gene1508,CU928145.2,1517758,1518546,+,789,3,3
gene1509,CU928145.2,1518556,1519305,+,750,2,4
gene1510,CU928145.2,1519348,1519611,+,264,1,1
gene1511,CU928145.2,1519608,1521875,+,2268,3,6
gene1512,CU928145.2,1521872,1522531,+,660,0,0
gene1513,CU928145.2,1522545,1523627,+,1083,0,4
gene1514,CU928145.2,1523672,1524577,+,906,0,8
gene1515,CU928145.2,1524688,1525686,-,999,3,72
gene1516,CU928145.2,1525841,1527238,+,1398,12,23
gene1517,CU928145.2,1527235,1528296,+,1062,10,33
gene1518,CU928145.2,1528444,1529985,+,1542,64,214
gene1519,CU928145.2,1530029,1530535,-,507,69,861
gene1520,CU928145.2,1530654,1531619,+,966,20,28
gene1521,CU928145.2,1531594,1532382,-,789,24,27
gene1522,CU928145.2,1532423,1532587,-,165,1,14
gene1523,CU928145.2,1532658,1533590,-,933,8,13
gene1524,CU928145.2,1533716,1534615,+,900,35,164
gene1525,CU928145.2,1534952,1536565,+,1614,23,190
gene1526,CU928145.2,1536616,1537647,-,1032,12,234
gene1527,CU928145.2,1537891,1538148,+,258,357,923
gene1528,CU928145.2,1538198,1539148,-,951,874,709
gene1529,CU928145.2,1539300,1540052,-,753,375,354
gene1530,CU928145.2,1540247,1540762,-,516,9,32
gene1531,CU928145.2,1540773,1542299,-,1527,2,15
gene1532,CU928145.2,1542229,1542423,-,195,0,0
gene1533,CU928145.2,1542336,1543781,-,1446,2,10
gene1534,CU928145.2,1543781,1545091,-,1311,4,2
gene1535,CU928145.2,1545267,1546175,+,909,21,26
gene1536,CU928145.2,1546178,1546335,+,158,16,7
gene1537,CU928145.2,1546505,1547068,+,564,5,31
gene1538,CU928145.2,1547089,1548321,-,1233,36,24
gene1539,CU928145.2,1548576,1549559,+,984,124,26
gene1540,CU928145.2,1549834,1550007,+,174,1,1
gene1541,CU928145.2,1549889,1549963,+,75,0,0
gene1542,CU928145.2,1550037,1551410,+,1374,11,26
gene1543,CU928145.2,1551539,1552474,-,936,34,156
gene1544,CU928145.2,1552650,1553084,-,435,79,635
gene1545,CU928145.2,1553225,1554358,-,1134,37,56
gene1546,CU928145.2,1554586,1554694,+,109,1,1
gene1547,CU928145.2,1554725,1558249,-,3525,256,62
gene1548,CU928145.2,1558523,1558789,+,267,14,15
gene1549,CU928145.2,1558786,1559208,-,423,58,105
gene1550,CU928145.2,1559319,1560308,-,990,50,116
gene1551,CU928145.2,1560516,1563155,+,2640,68,150
gene1552,CU928145.2,1563152,1563337,+,186,3,36
gene1553,CU928145.2,1563345,1563671,+,327,5,89
gene1554,CU928145.2,1563843,1564748,-,906,36,23
gene1555,CU928145.2,1564984,1566483,+,1500,54,22
gene1556,CU928145.2,1566541,1568814,-,2274,16,11
gene1557,CU928145.2,1569062,1571107,-,2046,3,4
gene1558,CU928145.2,1571392,1572321,+,930,1,1
gene1559,CU928145.2,1572333,1572620,+,288,1,2
gene1560,CU928145.2,1572629,1573375,+,747,0,1
gene1561,CU928145.2,1573390,1573887,+,498,0,0
gene1562,CU928145.2,1573895,1574965,+,1071,3,6
gene1563,CU928145.2,1574962,1575729,+,768,0,4
gene1564,CU928145.2,1575729,1576517,+,789,0,2
gene1565,CU928145.2,1576519,1577946,+,1428,1,5
gene1566,CU928145.2,1577936,1578358,+,423,0,1
gene1567,CU928145.2,1578358,1579563,+,1206,51,7
gene1568,CU928145.2,1579590,1580903,+,1314,38,15
gene1569,CU928145.2,1581004,1581954,+,951,27,23
gene1570,CU928145.2,1581936,1582526,+,591,93,51
gene1571,CU928145.2,1582756,1583616,+,861,39,10
gene1572,CU928145.2,1583680,1585986,+,2307,4,63
gene1573,CU928145.2,1586157,1586762,+,606,0,1
gene1574,CU928145.2,1586762,1587658,+,897,1,0
gene1575,CU928145.2,1587674,1589431,+,1758,3,6
gene1576,CU928145.2,1589445,1590737,+,1293,7,7
gene1577,CU928145.2,1590788,1591393,-,606,7,15
gene1578,CU928145.2,1591651,1595496,+,3846,174,84
gene1579,CU928145.2,1595768,1596568,+,801,33,22
gene1580,CU928145.2,1596765,1598204,+,1440,124,54
gene1581,CU928145.2,1598246,1599247,-,1002,113,43
gene1582,CU928145.2,1599436,1599966,+,531,48,159
gene1583,CU928145.2,1599977,1600040,-,64,11,16
gene1584,CU928145.2,1600211,1600384,+,174,21,13
gene1585,CU928145.2,1600496,1600663,-,168,42,30
gene1586,CU928145.2,1600653,1600705,+,53,1,1
gene1587,CU928145.2,1601004,1602644,+,1641,32,198
gene1588,CU928145.2,1602682,1603605,-,924,45,28
gene1589,CU928145.2,1603822,1605165,+,1344,188,12
gene1590,CU928145.2,1605420,1607045,+,1626,62,146
gene1591,CU928145.2,1606966,1607169,-,204,0,3
gene1592,CU928145.2,1607185,1607409,+,225,815,452
gene1593,CU928145.2,1607457,1608008,+,552,45,93
gene1594,CU928145.2,1608003,1608983,-,981,320,12
gene1595,CU928145.2,1609107,1610099,+,993,17,24
gene1596,CU928145.2,1610096,1610689,+,594,4,64
gene1597,CU928145.2,1610992,1611660,+,669,114,108
gene1598,CU928145.2,1611678,1611845,-,168,6,24
gene1599,CU928145.2,1611957,1612112,-,156,2,13
gene1600,CU928145.2,1612187,1613395,+,1209,30,157
gene1601,CU928145.2,1613435,1614610,-,1176,4,22
gene1602,CU928145.2,1614702,1615238,+,537,6,20
gene1603,CU928145.2,1615311,1617272,+,1962,5,36
gene1604,CU928145.2,1617364,1617594,-,231,2,3
gene1605,CU928145.2,1617995,1618432,+,438,15,57
gene1606,CU928145.2,1618511,1619917,+,1407,23,33
gene1607,CU928145.2,1620162,1621307,+,1146,99,6
gene1608,CU928145.2,1621325,1622338,+,1014,13,0
gene1609,CU928145.2,1622339,1623280,+,942,11,4
gene1610,CU928145.2,1623270,1624064,+,795,7,0
